hist_noise,hist
51.23138346629905,18.91
43.26638420447057,14.27
38.853085189204116,9.67
46.35627998002896,17.68
68.15366465803945,11.88
40.75115740304666,2.08
10.040780188476568,0.0
33.32943436813613,18.0
77.74064857284621,14.48
71.83834592748664,17.88
69.64863086367811,24.64
42.70959441054514,19.57
70.84026270370224,20.26
41.77455552075255,22.21
42.2663847015416,18.52
62.402570127921194,18.78
64.28968341124911,23.09
38.40688155631981,30.69
56.32099761512163,22.88
70.9555050569601,24.6
50.13270530425251,25.52
41.601496997354104,30.35
51.6671202866166,20.89
61.1040234500515,20.03
58.67770321637137,16.87
27.2161850134058,13.88
55.27224944074452,3.54
40.705143135979405,13.87
64.85629485381503,20.04
76.27681340694895,18.76
51.664823984579556,27.78
31.346150508878548,24.54
67.65119075223927,22.41
61.75558503689469,37.37
63.45585370584442,29.09
70.92642271006773,35.36
69.156369054987,32.08
47.188618872854065,35.98
48.3920888864456,36.27
56.98520023649617,28.28
63.13795706583915,37.11
81.57036654172346,50.31
112.42302857606796,44.27
108.7731317838012,42.9
83.7650230423344,35.14
93.54706265115415,30.74
27.207972378035226,22.49
45.152235403500654,24.17
56.128497034341365,25.37
28.57388185476522,9.9
65.94378887393424,21.28
23.56956921618901,14.81
28.783017448582246,24.26
62.86921697933863,28.25
82.56653034810113,54.01
67.32458789380411,48.38
53.783265174455224,27.1
77.5203024723838,46.16
53.99463606022477,37.51
64.34146772731103,38.71
118.26136629648285,51.3
52.02096082957871,26.13
102.61082442021001,22.97
55.32287669181394,25.55
66.17145180641552,33.55
61.19398807138707,37.53
106.82313902612344,47.79
81.24877531724401,33.18
41.68155921271168,30.92
32.513848115260316,26.14
59.18516240849911,22.78
38.97088352866321,25.99
10.273606421017856,16.51
25.02523961463127,15.52
49.604546518050086,10.92
74.46337213022373,13.47
72.29279462265845,18.37
49.41671242292655,19.24
40.00846055670377,25.55
72.8357434364607,25.85
78.11956498929678,24.65
74.36825213635186,24.44
54.190420629391795,27.18
92.89501447302216,28.09
29.27335797211676,27.15
74.42307938032425,26.58
67.28000540173683,30.15
62.558863807432644,29.95
55.58415648484704,32.86
111.92643734804882,90.0
59.23927517546525,35.6
71.08672432499543,46.24
62.04931704495481,48.88
61.8090668467759,29.33
32.92521912880517,20.97
55.227667008897974,23.91
88.90090807137857,24.26
50.465682177886436,24.74
51.70415052155835,22.56
36.59222744391283,9.37
46.34200058906485,24.8
43.631659644472464,22.85
82.21951218239454,48.25
64.97134724217584,37.38
65.97908027545967,30.28
81.94941294294802,34.22
139.44487339325462,82.41
71.40052091310615,41.33
90.45357906021906,69.62
50.18713197091092,30.93
47.6139790529964,35.51
87.87966899820087,33.69
89.3015471817206,57.0
120.03406510024467,49.96
114.67024128853069,66.17
72.323435971615,62.25
122.70860932036152,43.79
72.78963437156057,37.24
75.54029766720146,31.03
77.22086872718666,29.57
90.83754825770671,23.29
51.08044610801045,22.46
57.441741682109054,21.8
32.83393489632152,27.05
52.41895362724979,27.92
64.80653479152193,32.47
91.78019215174689,51.78
90.08624145896357,63.85
88.02365555703072,53.14
106.53943574957664,83.22
57.78966810102612,43.98
105.33937362547508,76.97
95.52222182930976,35.96
59.5463953669136,34.53
91.14917502603387,33.02
81.04882845028457,38.2
69.3862182748924,59.79
131.34069098037668,99.31
123.28354245563551,105.46
135.4537539795926,69.48
124.13861483748593,81.47
79.88800523147526,39.36
43.06573691029931,26.54
71.74021979613316,25.92
16.06996738092859,21.22
51.05415260175416,18.22
62.01964567442212,14.75
88.35262431891695,28.81
66.90442631407852,23.86
45.7417615899456,24.74
78.214805245972,55.2
70.4531523327121,35.38
78.59893828066998,29.79
44.064171370242704,32.8
48.554591362151754,32.8
58.76821233276233,27.77
59.825194533037774,34.49
49.51004758575267,27.94
66.56104010121122,22.56
20.552047603364784,25.18
62.880903112319174,32.96
92.07345983476668,47.98
88.07899298498705,37.69
68.97343340404412,33.21
90.30095581635649,32.53
45.16176943418638,29.08
73.17147832233468,30.1
58.78495990711254,27.74
